place_name,date,visitor_rate_pred,place_id,place_name_std
KT&G 상상마당 춘천,2025-08-26,41.3,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-08-27,42.76,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-08-28,39.44,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-08-29,38.77,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-08-30,61.2,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-08-31,52,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-01,41.41,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-02,41.41,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-03,42.76,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-04,39.44,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-05,36.88,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-06,61.2,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-07,52,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-08,42.76,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-09,42.76,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-10,44.12,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-11,41.3,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-12,42.22,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-13,59.66,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-14,56.28,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-15,40.16,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-16,42.76,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-17,42.73,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-18,41.3,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-19,44.74,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-20,60.19,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-21,52.3,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-22,40.16,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-23,40.16,kt&g상상마당춘천,KT&G상상마당춘천
KT&G 상상마당 춘천,2025-09-24,42.73,kt&g상상마당춘천,KT&G상상마당춘천
강아지숲,2025-08-26,64.24,강아지숲,강아지숲
강아지숲,2025-08-27,61.19,강아지숲,강아지숲
강아지숲,2025-08-28,61.91,강아지숲,강아지숲
강아지숲,2025-08-29,59.79,강아지숲,강아지숲
강아지숲,2025-08-30,91.19,강아지숲,강아지숲
